#    L    TT             EE             TE             PP             TP          
    75   0.193701E+04   0.375906E+00  -0.802432E+01   0.502806E+07   0.917925E+04
    76   0.196246E+04   0.389340E+00  -0.851649E+01   0.499818E+07   0.904890E+04
    77   0.198808E+04   0.402930E+00  -0.901896E+01   0.496825E+07   0.892090E+04
    78   0.201386E+04   0.416667E+00  -0.953127E+01   0.493828E+07   0.879466E+04
    79   0.203984E+04   0.430539E+00  -0.100532E+02   0.490829E+07   0.866959E+04
    80   0.206605E+04   0.444535E+00  -0.105848E+02   0.487830E+07   0.854512E+04
    81   0.209251E+04   0.458645E+00  -0.111257E+02   0.484833E+07   0.842088E+04
    82   0.211923E+04   0.472860E+00  -0.116754E+02   0.481839E+07   0.829737E+04
    83   0.214619E+04   0.487168E+00  -0.122334E+02   0.478850E+07   0.817533E+04
    84   0.217339E+04   0.501558E+00  -0.127989E+02   0.475866E+07   0.805548E+04
    85   0.220082E+04   0.516019E+00  -0.133715E+02   0.472890E+07   0.793857E+04
    86   0.222848E+04   0.530542E+00  -0.139506E+02   0.469922E+07   0.782516E+04
    87   0.225633E+04   0.545113E+00  -0.145358E+02   0.466964E+07   0.771516E+04
    88   0.228436E+04   0.559722E+00  -0.151267E+02   0.464015E+07   0.760835E+04
    89   0.231257E+04   0.574354E+00  -0.157230E+02   0.461077E+07   0.750447E+04
    90   0.234097E+04   0.588994E+00  -0.163246E+02   0.458151E+07   0.740330E+04
    91   0.236957E+04   0.603629E+00  -0.169311E+02   0.455236E+07   0.730461E+04
    92   0.239836E+04   0.618243E+00  -0.175423E+02   0.452334E+07   0.720830E+04
    93   0.242737E+04   0.632824E+00  -0.181578E+02   0.449444E+07   0.711429E+04
    94   0.245658E+04   0.647361E+00  -0.187773E+02   0.446568E+07   0.702251E+04
    95   0.248600E+04   0.661837E+00  -0.194003E+02   0.443705E+07   0.693287E+04
    96   0.251565E+04   0.676241E+00  -0.200264E+02   0.440855E+07   0.684531E+04
    97   0.254550E+04   0.690558E+00  -0.206551E+02   0.438020E+07   0.675974E+04
    98   0.257557E+04   0.704774E+00  -0.212861E+02   0.435199E+07   0.667608E+04
    99   0.260584E+04   0.718876E+00  -0.219187E+02   0.432392E+07   0.659426E+04
   100   0.263633E+04   0.732853E+00  -0.225526E+02   0.429600E+07   0.651419E+04
   101   0.266702E+04   0.746692E+00  -0.231872E+02   0.426823E+07   0.643581E+04
   102   0.269792E+04   0.760370E+00  -0.238221E+02   0.424062E+07   0.635903E+04
   103   0.272901E+04   0.773889E+00  -0.244567E+02   0.421317E+07   0.628378E+04
   104   0.276029E+04   0.787220E+00  -0.250906E+02   0.418588E+07   0.620998E+04
   105   0.279176E+04   0.800357E+00  -0.257231E+02   0.415875E+07   0.613754E+04
   106   0.282340E+04   0.813286E+00  -0.263536E+02   0.413179E+07   0.606640E+04
   107   0.285521E+04   0.826001E+00  -0.269818E+02   0.410500E+07   0.599647E+04
   108   0.288718E+04   0.838481E+00  -0.276069E+02   0.407838E+07   0.592768E+04
   109   0.291932E+04   0.850718E+00  -0.282284E+02   0.405195E+07   0.585995E+04
   110   0.295160E+04   0.862692E+00  -0.288458E+02   0.402569E+07   0.579320E+04
   111   0.298402E+04   0.874397E+00  -0.294586E+02   0.399961E+07   0.572737E+04
   112   0.301659E+04   0.885824E+00  -0.300661E+02   0.397372E+07   0.566244E+04
   113   0.304929E+04   0.896954E+00  -0.306679E+02   0.394801E+07   0.559841E+04
   114   0.308211E+04   0.907771E+00  -0.312634E+02   0.392248E+07   0.553529E+04
   115   0.311505E+04   0.918276E+00  -0.318522E+02   0.389714E+07   0.547306E+04
   116   0.314811E+04   0.928454E+00  -0.324335E+02   0.387197E+07   0.541174E+04
   117   0.318128E+04   0.938284E+00  -0.330070E+02   0.384700E+07   0.535132E+04
   118   0.321454E+04   0.947766E+00  -0.335721E+02   0.382220E+07   0.529179E+04
   119   0.324789E+04   0.956886E+00  -0.341282E+02   0.379759E+07   0.523317E+04
   120   0.328133E+04   0.965638E+00  -0.346749E+02   0.377317E+07   0.517544E+04
   121   0.331484E+04   0.974006E+00  -0.352115E+02   0.374892E+07   0.511861E+04
   122   0.334842E+04   0.981983E+00  -0.357377E+02   0.372486E+07   0.506268E+04
   123   0.338206E+04   0.989564E+00  -0.362528E+02   0.370099E+07   0.500765E+04
   124   0.341575E+04   0.996733E+00  -0.367563E+02   0.367729E+07   0.495351E+04
   125   0.344947E+04   0.100349E+01  -0.372478E+02   0.365379E+07   0.490027E+04
   126   0.348324E+04   0.100982E+01  -0.377267E+02   0.363046E+07   0.484792E+04
   127   0.351703E+04   0.101573E+01  -0.381925E+02   0.360732E+07   0.479647E+04
   128   0.355083E+04   0.102120E+01  -0.386448E+02   0.358436E+07   0.474591E+04
   129   0.358464E+04   0.102623E+01  -0.390830E+02   0.356159E+07   0.469624E+04
   130   0.361845E+04   0.103081E+01  -0.395066E+02   0.353900E+07   0.464747E+04
   131   0.365225E+04   0.103493E+01  -0.399151E+02   0.351660E+07   0.459958E+04
   132   0.368603E+04   0.103860E+01  -0.403081E+02   0.349438E+07   0.455256E+04
   133   0.371979E+04   0.104181E+01  -0.406851E+02   0.347234E+07   0.450638E+04
   134   0.375352E+04   0.104457E+01  -0.410456E+02   0.345048E+07   0.446100E+04
   135   0.378720E+04   0.104685E+01  -0.413893E+02   0.342880E+07   0.441641E+04
   136   0.382084E+04   0.104867E+01  -0.417155E+02   0.340729E+07   0.437257E+04
   137   0.385443E+04   0.105001E+01  -0.420239E+02   0.338597E+07   0.432947E+04
   138   0.388796E+04   0.105090E+01  -0.423141E+02   0.336482E+07   0.428706E+04
   139   0.392141E+04   0.105131E+01  -0.425856E+02   0.334385E+07   0.424532E+04
   140   0.395479E+04   0.105125E+01  -0.428380E+02   0.332304E+07   0.420423E+04
   141   0.398808E+04   0.105074E+01  -0.430711E+02   0.330242E+07   0.416376E+04
   142   0.402128E+04   0.104975E+01  -0.432843E+02   0.328196E+07   0.412388E+04
   143   0.405439E+04   0.104831E+01  -0.434773E+02   0.326167E+07   0.408456E+04
   144   0.408738E+04   0.104641E+01  -0.436497E+02   0.324155E+07   0.404578E+04
   145   0.412026E+04   0.104405E+01  -0.438010E+02   0.322160E+07   0.400750E+04
   146   0.415300E+04   0.104125E+01  -0.439311E+02   0.320181E+07   0.396971E+04
   147   0.418559E+04   0.103801E+01  -0.440393E+02   0.318219E+07   0.393237E+04
   148   0.421801E+04   0.103434E+01  -0.441253E+02   0.316273E+07   0.389545E+04
   149   0.425026E+04   0.103023E+01  -0.441889E+02   0.314344E+07   0.385894E+04
   150   0.428233E+04   0.102571E+01  -0.442294E+02   0.312431E+07   0.382279E+04
   151   0.431417E+04   0.102077E+01  -0.442468E+02   0.310533E+07   0.378700E+04
   152   0.434582E+04   0.101543E+01  -0.442406E+02   0.308652E+07   0.375155E+04
   153   0.437725E+04   0.100970E+01  -0.442106E+02   0.306787E+07   0.371645E+04
   154   0.440846E+04   0.100359E+01  -0.441567E+02   0.304937E+07   0.368169E+04
   155   0.443944E+04   0.997097E+00  -0.440784E+02   0.303103E+07   0.364728E+04
   156   0.447020E+04   0.990253E+00  -0.439758E+02   0.301284E+07   0.361323E+04
   157   0.450073E+04   0.983054E+00  -0.438484E+02   0.299481E+07   0.357952E+04
   158   0.453102E+04   0.975528E+00  -0.436960E+02   0.297693E+07   0.354617E+04
   159   0.456106E+04   0.967674E+00  -0.435185E+02   0.295920E+07   0.351317E+04
   160   0.459084E+04   0.959516E+00  -0.433157E+02   0.294162E+07   0.348053E+04
   161   0.462034E+04   0.951066E+00  -0.430874E+02   0.292419E+07   0.344825E+04
   162   0.464956E+04   0.942340E+00  -0.428334E+02   0.290691E+07   0.341632E+04
   163   0.467848E+04   0.933367E+00  -0.425534E+02   0.288978E+07   0.338476E+04
   164   0.470709E+04   0.924146E+00  -0.422475E+02   0.287279E+07   0.335355E+04
   165   0.473538E+04   0.914699E+00  -0.419152E+02   0.285595E+07   0.332271E+04
   166   0.476334E+04   0.905048E+00  -0.415567E+02   0.283926E+07   0.329222E+04
   167   0.479096E+04   0.895214E+00  -0.411716E+02   0.282271E+07   0.326211E+04
   168   0.481824E+04   0.885221E+00  -0.407602E+02   0.280629E+07   0.323236E+04
   169   0.484516E+04   0.875088E+00  -0.403223E+02   0.279003E+07   0.320298E+04
   170   0.487171E+04   0.864832E+00  -0.398577E+02   0.277390E+07   0.317396E+04
   171   0.489789E+04   0.854480E+00  -0.393666E+02   0.275791E+07   0.314532E+04
   172   0.492371E+04   0.844056E+00  -0.388487E+02   0.274205E+07   0.311704E+04
   173   0.494913E+04   0.833580E+00  -0.383042E+02   0.272634E+07   0.308914E+04
   174   0.497415E+04   0.823074E+00  -0.377330E+02   0.271076E+07   0.306162E+04
   175   0.499877E+04   0.812576E+00  -0.371353E+02   0.269531E+07   0.303447E+04
   176   0.502297E+04   0.802100E+00  -0.365110E+02   0.268000E+07   0.300769E+04
   177   0.504676E+04   0.791680E+00  -0.358601E+02   0.266482E+07   0.298128E+04
   178   0.507011E+04   0.781340E+00  -0.351826E+02   0.264978E+07   0.295523E+04
   179   0.509302E+04   0.771099E+00  -0.344787E+02   0.263486E+07   0.292953E+04
   180   0.511550E+04   0.760993E+00  -0.337484E+02   0.262007E+07   0.290417E+04
   181   0.513752E+04   0.751051E+00  -0.329919E+02   0.260541E+07   0.287914E+04
   182   0.515908E+04   0.741302E+00  -0.322092E+02   0.259087E+07   0.285444E+04
   183   0.518018E+04   0.731766E+00  -0.314006E+02   0.257646E+07   0.283005E+04
   184   0.520081E+04   0.722479E+00  -0.305662E+02   0.256217E+07   0.280597E+04
   185   0.522096E+04   0.713478E+00  -0.297060E+02   0.254801E+07   0.278218E+04
   186   0.524063E+04   0.704783E+00  -0.288203E+02   0.253396E+07   0.275868E+04
   187   0.525980E+04   0.696423E+00  -0.279092E+02   0.252004E+07   0.273546E+04
   188   0.527848E+04   0.688437E+00  -0.269731E+02   0.250623E+07   0.271252E+04
   189   0.529665E+04   0.680856E+00  -0.260120E+02   0.249254E+07   0.268983E+04
   190   0.531432E+04   0.673712E+00  -0.250263E+02   0.247897E+07   0.266740E+04
   191   0.533146E+04   0.667035E+00  -0.240162E+02   0.246551E+07   0.264521E+04
   192   0.534808E+04   0.660861E+00  -0.229819E+02   0.245216E+07   0.262326E+04
