#    L    TT             EE             TE             PP             TP          
    75   0.193662E+04   0.375859E+00  -0.801996E+01   0.502807E+07   0.918023E+04
    76   0.196205E+04   0.389292E+00  -0.851198E+01   0.499820E+07   0.904994E+04
    77   0.198766E+04   0.402881E+00  -0.901433E+01   0.496827E+07   0.892201E+04
    78   0.201343E+04   0.416616E+00  -0.952650E+01   0.493830E+07   0.879583E+04
    79   0.203940E+04   0.430487E+00  -0.100483E+02   0.490830E+07   0.867079E+04
    80   0.206560E+04   0.444483E+00  -0.105798E+02   0.487831E+07   0.854630E+04
    81   0.209205E+04   0.458592E+00  -0.111206E+02   0.484834E+07   0.842198E+04
    82   0.211876E+04   0.472806E+00  -0.116701E+02   0.481840E+07   0.829835E+04
    83   0.214570E+04   0.487112E+00  -0.122279E+02   0.478850E+07   0.817617E+04
    84   0.217289E+04   0.501502E+00  -0.127933E+02   0.475867E+07   0.805621E+04
    85   0.220031E+04   0.515962E+00  -0.133659E+02   0.472890E+07   0.793922E+04
    86   0.222796E+04   0.530484E+00  -0.139449E+02   0.469923E+07   0.782578E+04
    87   0.225580E+04   0.545055E+00  -0.145299E+02   0.466964E+07   0.771581E+04
    88   0.228381E+04   0.559663E+00  -0.151206E+02   0.464016E+07   0.760905E+04
    89   0.231202E+04   0.574295E+00  -0.157168E+02   0.461078E+07   0.750525E+04
    90   0.234041E+04   0.588934E+00  -0.163183E+02   0.458152E+07   0.740415E+04
    91   0.236899E+04   0.603568E+00  -0.169247E+02   0.455238E+07   0.730553E+04
    92   0.239777E+04   0.618182E+00  -0.175358E+02   0.452336E+07   0.720927E+04
    93   0.242677E+04   0.632763E+00  -0.181512E+02   0.449446E+07   0.711531E+04
    94   0.245597E+04   0.647299E+00  -0.187706E+02   0.446570E+07   0.702356E+04
    95   0.248538E+04   0.661776E+00  -0.193935E+02   0.443706E+07   0.693395E+04
    96   0.251502E+04   0.676179E+00  -0.200195E+02   0.440857E+07   0.684640E+04
    97   0.254486E+04   0.690497E+00  -0.206481E+02   0.438021E+07   0.676083E+04
    98   0.257492E+04   0.704713E+00  -0.212790E+02   0.435200E+07   0.667717E+04
    99   0.260518E+04   0.718815E+00  -0.219116E+02   0.432393E+07   0.659534E+04
   100   0.263566E+04   0.732792E+00  -0.225454E+02   0.429601E+07   0.651526E+04
   101   0.266634E+04   0.746631E+00  -0.231798E+02   0.426824E+07   0.643686E+04
   102   0.269723E+04   0.760309E+00  -0.238148E+02   0.424062E+07   0.636005E+04
   103   0.272831E+04   0.773829E+00  -0.244493E+02   0.421317E+07   0.628477E+04
   104   0.275958E+04   0.787161E+00  -0.250831E+02   0.418587E+07   0.621093E+04
   105   0.279104E+04   0.800298E+00  -0.257155E+02   0.415874E+07   0.613846E+04
   106   0.282268E+04   0.813228E+00  -0.263460E+02   0.413178E+07   0.606728E+04
   107   0.285448E+04   0.825944E+00  -0.269741E+02   0.410499E+07   0.599731E+04
   108   0.288645E+04   0.838424E+00  -0.275992E+02   0.407837E+07   0.592848E+04
   109   0.291857E+04   0.850663E+00  -0.282206E+02   0.405193E+07   0.586071E+04
   110   0.295085E+04   0.862638E+00  -0.288380E+02   0.402567E+07   0.579392E+04
   111   0.298326E+04   0.874343E+00  -0.294508E+02   0.399959E+07   0.572805E+04
   112   0.301582E+04   0.885772E+00  -0.300582E+02   0.397370E+07   0.566308E+04
   113   0.304851E+04   0.896903E+00  -0.306600E+02   0.394799E+07   0.559902E+04
   114   0.308133E+04   0.907722E+00  -0.312555E+02   0.392246E+07   0.553586E+04
