#    L    TT             EE             BB             TE          
  3428   0.101217E+02   0.338848E+00   0.805961E-02  -0.429469E+00
  3429   0.100934E+02   0.338389E+00   0.805158E-02  -0.427685E+00
  3430   0.100652E+02   0.337935E+00   0.804356E-02  -0.425934E+00
  3431   0.100370E+02   0.337487E+00   0.803555E-02  -0.424215E+00
  3432   0.100089E+02   0.337043E+00   0.802755E-02  -0.422529E+00
  3433   0.998087E+01   0.336604E+00   0.801956E-02  -0.420877E+00
  3434   0.995289E+01   0.336170E+00   0.801158E-02  -0.419256E+00
  3435   0.992496E+01   0.335741E+00   0.800361E-02  -0.417667E+00
  3436   0.989713E+01   0.335316E+00   0.799565E-02  -0.416111E+00
  3437   0.986933E+01   0.334895E+00   0.798771E-02  -0.414587E+00
  3438   0.984163E+01   0.334478E+00   0.797977E-02  -0.413095E+00
  3439   0.981403E+01   0.334065E+00   0.797184E-02  -0.411635E+00
  3440   0.978646E+01   0.333657E+00   0.796393E-02  -0.410207E+00
  3441   0.975898E+01   0.333251E+00   0.795602E-02  -0.408811E+00
  3442   0.973159E+01   0.332849E+00   0.794813E-02  -0.407448E+00
  3443   0.970429E+01   0.332450E+00   0.794024E-02  -0.406115E+00
  3444   0.967708E+01   0.332055E+00   0.793237E-02  -0.404814E+00
  3445   0.964988E+01   0.331663E+00   0.792450E-02  -0.403543E+00
  3446   0.962283E+01   0.331274E+00   0.791665E-02  -0.402304E+00
  3447   0.959587E+01   0.330887E+00   0.790880E-02  -0.401095E+00
  3448   0.956906E+01   0.330503E+00   0.790097E-02  -0.399917E+00
  3449   0.954225E+01   0.330123E+00   0.789314E-02  -0.398768E+00
  3450   0.951559E+01   0.329744E+00   0.788533E-02  -0.397650E+00
  3451   0.948901E+01   0.329368E+00   0.787752E-02  -0.396561E+00
  3452   0.946249E+01   0.328994E+00   0.786972E-02  -0.395502E+00
  3453   0.943612E+01   0.328622E+00   0.786193E-02  -0.394472E+00
  3454   0.940990E+01   0.328252E+00   0.785416E-02  -0.393471E+00
  3455   0.938374E+01   0.327883E+00   0.784639E-02  -0.392499E+00
  3456   0.935765E+01   0.327516E+00   0.783863E-02  -0.391555E+00
  3457   0.933170E+01   0.327151E+00   0.783087E-02  -0.390640E+00
  3458   0.930588E+01   0.326786E+00   0.782313E-02  -0.389752E+00
  3459   0.928013E+01   0.326422E+00   0.781540E-02  -0.388891E+00
  3460   0.925451E+01   0.326059E+00   0.780767E-02  -0.388058E+00
  3461   0.922903E+01   0.325696E+00   0.779996E-02  -0.387251E+00
  3462   0.920368E+01   0.325334E+00   0.779225E-02  -0.386472E+00
  3463   0.917839E+01   0.324972E+00   0.778455E-02  -0.385719E+00
  3464   0.915330E+01   0.324610E+00   0.777686E-02  -0.384992E+00
  3465   0.912827E+01   0.324248E+00   0.776918E-02  -0.384290E+00
  3466   0.910337E+01   0.323885E+00   0.776151E-02  -0.383613E+00
  3467   0.907859E+01   0.323523E+00   0.775385E-02  -0.382961E+00
  3468   0.905394E+01   0.323160E+00   0.774619E-02  -0.382335E+00
  3469   0.902941E+01   0.322796E+00   0.773855E-02  -0.381731E+00
  3470   0.900500E+01   0.322432E+00   0.773091E-02  -0.381152E+00
  3471   0.898072E+01   0.322065E+00   0.772329E-02  -0.380597E+00
  3472   0.895656E+01   0.321699E+00   0.771567E-02  -0.380064E+00
  3473   0.893253E+01   0.321330E+00   0.770806E-02  -0.379556E+00
  3474   0.890862E+01   0.320961E+00   0.770046E-02  -0.379069E+00
  3475   0.888482E+01   0.320590E+00   0.769287E-02  -0.378604E+00
  3476   0.886115E+01   0.320216E+00   0.768529E-02  -0.378163E+00
  3477   0.883761E+01   0.319841E+00   0.767771E-02  -0.377742E+00
  3478   0.881419E+01   0.319464E+00   0.767015E-02  -0.377343E+00
  3479   0.879089E+01   0.319085E+00   0.766260E-02  -0.376964E+00
  3480   0.876772E+01   0.318704E+00   0.765505E-02  -0.376605E+00
  3481   0.874467E+01   0.318320E+00   0.764752E-02  -0.376266E+00
  3482   0.872173E+01   0.317935E+00   0.764000E-02  -0.375947E+00
  3483   0.869893E+01   0.317548E+00   0.763248E-02  -0.375646E+00
  3484   0.867625E+01   0.317158E+00   0.762498E-02  -0.375364E+00
  3485   0.865370E+01   0.316766E+00   0.761748E-02  -0.375099E+00
  3486   0.863127E+01   0.316371E+00   0.761000E-02  -0.374853E+00
  3487   0.860896E+01   0.315973E+00   0.760252E-02  -0.374623E+00
  3488   0.858677E+01   0.315573E+00   0.759506E-02  -0.374411E+00
  3489   0.856470E+01   0.315170E+00   0.758760E-02  -0.374215E+00
  3490   0.854275E+01   0.314764E+00   0.758016E-02  -0.374036E+00
  3491   0.852092E+01   0.314355E+00   0.757273E-02  -0.373872E+00
  3492   0.849921E+01   0.313943E+00   0.756530E-02  -0.373725E+00
  3493   0.847763E+01   0.313528E+00   0.755789E-02  -0.373591E+00
  3494   0.845616E+01   0.313110E+00   0.755049E-02  -0.373472E+00
  3495   0.843482E+01   0.312688E+00   0.754310E-02  -0.373368E+00
  3496   0.841360E+01   0.312263E+00   0.753571E-02  -0.373277E+00
  3497   0.839250E+01   0.311835E+00   0.752834E-02  -0.373199E+00
  3498   0.837152E+01   0.311404E+00   0.752098E-02  -0.373135E+00
  3499   0.835066E+01   0.310969E+00   0.751363E-02  -0.373083E+00
  3500   0.832992E+01   0.310531E+00   0.750629E-02  -0.373044E+00
  3501   0.830930E+01   0.310088E+00   0.749896E-02  -0.373016E+00
  3502   0.828880E+01   0.309643E+00   0.749165E-02  -0.373000E+00
  3503   0.826842E+01   0.309193E+00   0.748434E-02  -0.372995E+00
  3504   0.824816E+01   0.308740E+00   0.747704E-02  -0.373001E+00
  3505   0.822802E+01   0.308283E+00   0.746975E-02  -0.373015E+00
  3506   0.820800E+01   0.307821E+00   0.746248E-02  -0.373040E+00
  3507   0.818809E+01   0.307356E+00   0.745521E-02  -0.373073E+00
  3508   0.816831E+01   0.306887E+00   0.744795E-02  -0.373115E+00
  3509   0.814865E+01   0.306413E+00   0.744071E-02  -0.373165E+00
  3510   0.812910E+01   0.305936E+00   0.743347E-02  -0.373222E+00
  3511   0.810969E+01   0.305454E+00   0.742624E-02  -0.373285E+00
  3512   0.809039E+01   0.304969E+00   0.741903E-02  -0.373354E+00
  3513   0.807121E+01   0.304479E+00   0.741182E-02  -0.373429E+00
  3514   0.805215E+01   0.303986E+00   0.740463E-02  -0.373510E+00
  3515   0.803320E+01   0.303488E+00   0.739744E-02  -0.373595E+00
  3516   0.801438E+01   0.302986E+00   0.739027E-02  -0.373685E+00
  3517   0.799568E+01   0.302478E+00   0.738310E-02  -0.373780E+00
  3518   0.797710E+01   0.301967E+00   0.737594E-02  -0.373877E+00
  3519   0.795863E+01   0.301451E+00   0.736880E-02  -0.373978E+00
  3520   0.794028E+01   0.300930E+00   0.736166E-02  -0.374081E+00
  3521   0.792205E+01   0.300405E+00   0.735453E-02  -0.374188E+00
  3522   0.790393E+01   0.299875E+00   0.734742E-02  -0.374296E+00
  3523   0.788593E+01   0.299341E+00   0.734031E-02  -0.374405E+00
  3524   0.786804E+01   0.298802E+00   0.733321E-02  -0.374516E+00
  3525   0.785027E+01   0.298259E+00   0.732612E-02  -0.374626E+00
  3526   0.783262E+01   0.297711E+00   0.731904E-02  -0.374738E+00
  3527   0.781507E+01   0.297158E+00   0.731197E-02  -0.374849E+00
  3528   0.779764E+01   0.296601E+00   0.730491E-02  -0.374959E+00
  3529   0.778032E+01   0.296039E+00   0.729786E-02  -0.375069E+00
  3530   0.776311E+01   0.295472E+00   0.729082E-02  -0.375178E+00
  3531   0.774601E+01   0.294900E+00   0.728378E-02  -0.375285E+00
  3532   0.772902E+01   0.294324E+00   0.727676E-02  -0.375391E+00
  3533   0.771213E+01   0.293743E+00   0.726975E-02  -0.375494E+00
  3534   0.769535E+01   0.293157E+00   0.726274E-02  -0.375595E+00
  3535   0.767867E+01   0.292567E+00   0.725575E-02  -0.375693E+00
  3536   0.766210E+01   0.291972E+00   0.724876E-02  -0.375788E+00
  3537   0.764563E+01   0.291374E+00   0.724179E-02  -0.375879E+00
  3538   0.762926E+01   0.290770E+00   0.723482E-02  -0.375967E+00
  3539   0.761300E+01   0.290163E+00   0.722786E-02  -0.376051E+00
  3540   0.759684E+01   0.289551E+00   0.722091E-02  -0.376130E+00
  3541   0.758077E+01   0.288935E+00   0.721397E-02  -0.376205E+00
  3542   0.756480E+01   0.288315E+00   0.720704E-02  -0.376275E+00
  3543   0.754893E+01   0.287690E+00   0.720012E-02  -0.376340E+00
  3544   0.753315E+01   0.287062E+00   0.719321E-02  -0.376399E+00
  3545   0.751747E+01   0.286428E+00   0.718631E-02  -0.376452E+00
  3546   0.750188E+01   0.285791E+00   0.717942E-02  -0.376499E+00
  3547   0.748638E+01   0.285150E+00   0.717253E-02  -0.376541E+00
  3548   0.747097E+01   0.284504E+00   0.716566E-02  -0.376576E+00
  3549   0.745565E+01   0.283855E+00   0.715879E-02  -0.376605E+00
  3550   0.744042E+01   0.283201E+00   0.715194E-02  -0.376626E+00
  3551   0.742527E+01   0.282544E+00   0.714509E-02  -0.376640E+00
  3552   0.741022E+01   0.281884E+00   0.713826E-02  -0.376648E+00
  3553   0.739525E+01   0.281219E+00   0.713143E-02  -0.376647E+00
  3554   0.738036E+01   0.280550E+00   0.712461E-02  -0.376638E+00
  3555   0.736555E+01   0.279878E+00   0.711780E-02  -0.376622E+00
  3556   0.735083E+01   0.279202E+00   0.711100E-02  -0.376597E+00
  3557   0.733618E+01   0.278523E+00   0.710421E-02  -0.376562E+00
  3558   0.732161E+01   0.277840E+00   0.709743E-02  -0.376520E+00
  3559   0.730712E+01   0.277154E+00   0.709066E-02  -0.376467E+00
  3560   0.729270E+01   0.276465E+00   0.708390E-02  -0.376405E+00
  3561   0.727836E+01   0.275772E+00   0.707714E-02  -0.376333E+00
  3562   0.726409E+01   0.275076E+00   0.707040E-02  -0.376251E+00
  3563   0.724989E+01   0.274378E+00   0.706367E-02  -0.376159E+00
  3564   0.723577E+01   0.273676E+00   0.705694E-02  -0.376056E+00
  3565   0.722170E+01   0.272970E+00   0.705022E-02  -0.375943E+00
  3566   0.720772E+01   0.272261E+00   0.704352E-02  -0.375817E+00
  3567   0.719379E+01   0.271550E+00   0.703682E-02  -0.375682E+00
  3568   0.717993E+01   0.270835E+00   0.703013E-02  -0.375534E+00
  3569   0.716614E+01   0.270117E+00   0.702345E-02  -0.375374E+00
  3570   0.715241E+01   0.269397E+00   0.701678E-02  -0.375203E+00
  3571   0.713873E+01   0.268674E+00   0.701011E-02  -0.375019E+00
  3572   0.712513E+01   0.267949E+00   0.700346E-02  -0.374825E+00
  3573   0.711158E+01   0.267221E+00   0.699681E-02  -0.374617E+00
  3574   0.709809E+01   0.266491E+00   0.699018E-02  -0.374398E+00
  3575   0.708466E+01   0.265759E+00   0.698355E-02  -0.374167E+00
  3576   0.707129E+01   0.265025E+00   0.697693E-02  -0.373923E+00
  3577   0.705798E+01   0.264288E+00   0.697033E-02  -0.373666E+00
  3578   0.704472E+01   0.263550E+00   0.696372E-02  -0.373397E+00
  3579   0.703152E+01   0.262810E+00   0.695713E-02  -0.373115E+00
  3580   0.701836E+01   0.262067E+00   0.695055E-02  -0.372820E+00
  3581   0.700526E+01   0.261323E+00   0.694398E-02  -0.372512E+00
  3582   0.699221E+01   0.260576E+00   0.693741E-02  -0.372192E+00
  3583   0.697920E+01   0.259828E+00   0.693086E-02  -0.371858E+00
  3584   0.696625E+01   0.259079E+00   0.692431E-02  -0.371511E+00
  3585   0.695334E+01   0.258328E+00   0.691777E-02  -0.371152E+00
  3586   0.694047E+01   0.257575E+00   0.691124E-02  -0.370779E+00
  3587   0.692766E+01   0.256821E+00   0.690472E-02  -0.370393E+00
  3588   0.691489E+01   0.256066E+00   0.689821E-02  -0.369995E+00
  3589   0.690215E+01   0.255310E+00   0.689170E-02  -0.369583E+00
  3590   0.688946E+01   0.254552E+00   0.688521E-02  -0.369157E+00
  3591   0.687681E+01   0.253794E+00   0.687872E-02  -0.368719E+00
  3592   0.686420E+01   0.253034E+00   0.687224E-02  -0.368268E+00
  3593   0.685162E+01   0.252274E+00   0.686577E-02  -0.367803E+00
  3594   0.683908E+01   0.251512E+00   0.685931E-02  -0.367325E+00
  3595   0.682658E+01   0.250749E+00   0.685286E-02  -0.366834E+00
  3596   0.681410E+01   0.249986E+00   0.684642E-02  -0.366330E+00
  3597   0.680165E+01   0.249222E+00   0.683999E-02  -0.365812E+00
  3598   0.678925E+01   0.248458E+00   0.683356E-02  -0.365281E+00
  3599   0.677687E+01   0.247694E+00   0.682714E-02  -0.364737E+00
  3600   0.676452E+01   0.246928E+00   0.682073E-02  -0.364180E+00
  3601   0.675220E+01   0.246163E+00   0.681433E-02  -0.363611E+00
  3602   0.673991E+01   0.245397E+00   0.680794E-02  -0.363029E+00
  3603   0.672765E+01   0.244632E+00   0.680156E-02  -0.362433E+00
  3604   0.671542E+01   0.243867E+00   0.679519E-02  -0.361827E+00
  3605   0.670320E+01   0.243102E+00   0.678882E-02  -0.361206E+00
  3606   0.669102E+01   0.242337E+00   0.678246E-02  -0.360575E+00
  3607   0.667886E+01   0.241573E+00   0.677611E-02  -0.359930E+00
  3608   0.666671E+01   0.240808E+00   0.676977E-02  -0.359274E+00
  3609   0.665459E+01   0.240045E+00   0.676344E-02  -0.358605E+00
  3610   0.664249E+01   0.239282E+00   0.675712E-02  -0.357923E+00
  3611   0.663040E+01   0.238520E+00   0.675080E-02  -0.357230E+00
  3612   0.661834E+01   0.237759E+00   0.674449E-02  -0.356525E+00
  3613   0.660628E+01   0.236999E+00   0.673819E-02  -0.355808E+00
  3614   0.659425E+01   0.236239E+00   0.673190E-02  -0.355080E+00
  3615   0.658223E+01   0.235481E+00   0.672562E-02  -0.354339E+00
  3616   0.657024E+01   0.234724E+00   0.671934E-02  -0.353588E+00
  3617   0.655825E+01   0.233968E+00   0.671308E-02  -0.352825E+00
  3618   0.654627E+01   0.233213E+00   0.670681E-02  -0.352051E+00
  3619   0.653431E+01   0.232461E+00   0.670056E-02  -0.351265E+00
  3620   0.652237E+01   0.231709E+00   0.669432E-02  -0.350469E+00
  3621   0.651043E+01   0.230959E+00   0.668808E-02  -0.349661E+00
  3622   0.649850E+01   0.230210E+00   0.668185E-02  -0.348843E+00
  3623   0.648659E+01   0.229464E+00   0.667563E-02  -0.348013E+00
  3624   0.647469E+01   0.228718E+00   0.666941E-02  -0.347173E+00
  3625   0.646279E+01   0.227975E+00   0.666320E-02  -0.346323E+00
  3626   0.645091E+01   0.227233E+00   0.665700E-02  -0.345462E+00
  3627   0.643903E+01   0.226494E+00   0.665081E-02  -0.344591E+00
  3628   0.642717E+01   0.225757E+00   0.664462E-02  -0.343710E+00
  3629   0.641531E+01   0.225022E+00   0.663845E-02  -0.342820E+00
  3630   0.640347E+01   0.224289E+00   0.663227E-02  -0.341921E+00
  3631   0.639163E+01   0.223559E+00   0.662611E-02  -0.341012E+00
  3632   0.637980E+01   0.222831E+00   0.661995E-02  -0.340094E+00
  3633   0.636799E+01   0.222105E+00   0.661380E-02  -0.339167E+00
  3634   0.635618E+01   0.221383E+00   0.660766E-02  -0.338232E+00
  3635   0.634437E+01   0.220662E+00   0.660152E-02  -0.337287E+00
  3636   0.633259E+01   0.219944E+00   0.659539E-02  -0.336335E+00
  3637   0.632080E+01   0.219229E+00   0.658926E-02  -0.335374E+00
  3638   0.630902E+01   0.218517E+00   0.658315E-02  -0.334405E+00
  3639   0.629724E+01   0.217807E+00   0.657704E-02  -0.333428E+00
  3640   0.628547E+01   0.217100E+00   0.657094E-02  -0.332443E+00
  3641   0.627371E+01   0.216397E+00   0.656484E-02  -0.331451E+00
  3642   0.626194E+01   0.215696E+00   0.655875E-02  -0.330451E+00
  3643   0.625019E+01   0.214998E+00   0.655267E-02  -0.329445E+00
  3644   0.623844E+01   0.214303E+00   0.654659E-02  -0.328431E+00
  3645   0.622669E+01   0.213611E+00   0.654053E-02  -0.327411E+00
  3646   0.621494E+01   0.212922E+00   0.653447E-02  -0.326384E+00
  3647   0.620319E+01   0.212237E+00   0.652841E-02  -0.325350E+00
  3648   0.619145E+01   0.211554E+00   0.652236E-02  -0.324311E+00
  3649   0.617970E+01   0.210876E+00   0.651633E-02  -0.323265E+00
  3650   0.616796E+01   0.210199E+00   0.651029E-02  -0.322213E+00
  3651   0.615621E+01   0.209527E+00   0.650427E-02  -0.321155E+00
  3652   0.614446E+01   0.208858E+00   0.649825E-02  -0.320092E+00
  3653   0.613271E+01   0.208192E+00   0.649224E-02  -0.319023E+00
  3654   0.612095E+01   0.207530E+00   0.648624E-02  -0.317949E+00
  3655   0.610919E+01   0.206871E+00   0.648024E-02  -0.316871E+00
  3656   0.609742E+01   0.206216E+00   0.647426E-02  -0.315788E+00
  3657   0.608565E+01   0.205564E+00   0.646828E-02  -0.314701E+00
  3658   0.607388E+01   0.204916E+00   0.646230E-02  -0.313611E+00
  3659   0.606210E+01   0.204273E+00   0.645634E-02  -0.312517E+00
  3660   0.605031E+01   0.203632E+00   0.645038E-02  -0.311419E+00
  3661   0.603852E+01   0.202996E+00   0.644443E-02  -0.310319E+00
  3662   0.602671E+01   0.202364E+00   0.643849E-02  -0.309216E+00
  3663   0.601491E+01   0.201735E+00   0.643256E-02  -0.308110E+00
  3664   0.600309E+01   0.201111E+00   0.642663E-02  -0.307002E+00
  3665   0.599126E+01   0.200490E+00   0.642071E-02  -0.305892E+00
  3666   0.597943E+01   0.199874E+00   0.641480E-02  -0.304779E+00
  3667   0.596758E+01   0.199260E+00   0.640890E-02  -0.303666E+00
  3668   0.595574E+01   0.198652E+00   0.640301E-02  -0.302551E+00
  3669   0.594387E+01   0.198048E+00   0.639712E-02  -0.301434E+00
  3670   0.593200E+01   0.197447E+00   0.639124E-02  -0.300317E+00
  3671   0.592011E+01   0.196851E+00   0.638537E-02  -0.299199E+00
  3672   0.590822E+01   0.196259E+00   0.637951E-02  -0.298081E+00
  3673   0.589632E+01   0.195671E+00   0.637365E-02  -0.296962E+00
  3674   0.588442E+01   0.195087E+00   0.636780E-02  -0.295843E+00
  3675   0.587250E+01   0.194508E+00   0.636196E-02  -0.294725E+00
  3676   0.586057E+01   0.193933E+00   0.635613E-02  -0.293606E+00
  3677   0.584864E+01   0.193362E+00   0.635030E-02  -0.292489E+00
  3678   0.583670E+01   0.192794E+00   0.634448E-02  -0.291372E+00
  3679   0.582476E+01   0.192232E+00   0.633867E-02  -0.290256E+00
  3680   0.581281E+01   0.191674E+00   0.633286E-02  -0.289142E+00
  3681   0.580085E+01   0.191120E+00   0.632706E-02  -0.288028E+00
  3682   0.578889E+01   0.190570E+00   0.632127E-02  -0.286916E+00
  3683   0.577693E+01   0.190025E+00   0.631549E-02  -0.285806E+00
  3684   0.576496E+01   0.189484E+00   0.630971E-02  -0.284698E+00
  3685   0.575300E+01   0.188947E+00   0.630394E-02  -0.283591E+00
  3686   0.574102E+01   0.188414E+00   0.629817E-02  -0.282487E+00
  3687   0.572905E+01   0.187886E+00   0.629241E-02  -0.281385E+00
  3688   0.571708E+01   0.187362E+00   0.628666E-02  -0.280286E+00
  3689   0.570511E+01   0.186842E+00   0.628091E-02  -0.279189E+00
  3690   0.569314E+01   0.186326E+00   0.627517E-02  -0.278096E+00
  3691   0.568117E+01   0.185815E+00   0.626944E-02  -0.277005E+00
  3692   0.566921E+01   0.185308E+00   0.626371E-02  -0.275918E+00
  3693   0.565726E+01   0.184806E+00   0.625799E-02  -0.274835E+00
  3694   0.564532E+01   0.184308E+00   0.625227E-02  -0.273756E+00
  3695   0.563338E+01   0.183813E+00   0.624656E-02  -0.272679E+00
  3696   0.562145E+01   0.183324E+00   0.624085E-02  -0.271608E+00
  3697   0.560953E+01   0.182838E+00   0.623515E-02  -0.270540E+00
  3698   0.559763E+01   0.182357E+00   0.622945E-02  -0.269476E+00
  3699   0.558573E+01   0.181880E+00   0.622376E-02  -0.268417E+00
  3700   0.557383E+01   0.181407E+00   0.621808E-02  -0.267362E+00
  3701   0.556195E+01   0.180939E+00   0.621240E-02  -0.266311E+00
  3702   0.555008E+01   0.180474E+00   0.620673E-02  -0.265266E+00
  3703   0.553822E+01   0.180014E+00   0.620106E-02  -0.264225E+00
  3704   0.552637E+01   0.179557E+00   0.619540E-02  -0.263189E+00
  3705   0.551454E+01   0.179105E+00   0.618974E-02  -0.262158E+00
  3706   0.550271E+01   0.178656E+00   0.618409E-02  -0.261134E+00
  3707   0.549090E+01   0.178212E+00   0.617844E-02  -0.260114E+00
  3708   0.547910E+01   0.177772E+00   0.617280E-02  -0.259100E+00
  3709   0.546732E+01   0.177336E+00   0.616716E-02  -0.258092E+00
  3710   0.545554E+01   0.176904E+00   0.616153E-02  -0.257090E+00
  3711   0.544379E+01   0.176476E+00   0.615591E-02  -0.256094E+00
  3712   0.543203E+01   0.176051E+00   0.615029E-02  -0.255105E+00
  3713   0.542030E+01   0.175631E+00   0.614468E-02  -0.254122E+00
  3714   0.540857E+01   0.175214E+00   0.613908E-02  -0.253146E+00
  3715   0.539686E+01   0.174801E+00   0.613348E-02  -0.252177E+00
  3716   0.538515E+01   0.174392E+00   0.612788E-02  -0.251214E+00
  3717   0.537345E+01   0.173987E+00   0.612230E-02  -0.250260E+00
  3718   0.536177E+01   0.173585E+00   0.611672E-02  -0.249311E+00
  3719   0.535010E+01   0.173187E+00   0.611114E-02  -0.248371E+00
  3720   0.533844E+01   0.172792E+00   0.610558E-02  -0.247437E+00
  3721   0.532678E+01   0.172402E+00   0.610002E-02  -0.246512E+00
  3722   0.531515E+01   0.172014E+00   0.609446E-02  -0.245594E+00
  3723   0.530352E+01   0.171630E+00   0.608892E-02  -0.244684E+00
  3724   0.529189E+01   0.171250E+00   0.608338E-02  -0.243783E+00
  3725   0.528027E+01   0.170873E+00   0.607785E-02  -0.242889E+00
  3726   0.526867E+01   0.170500E+00   0.607232E-02  -0.242002E+00
  3727   0.525707E+01   0.170130E+00   0.606681E-02  -0.241124E+00
  3728   0.524548E+01   0.169763E+00   0.606130E-02  -0.240256E+00
  3729   0.523390E+01   0.169400E+00   0.605580E-02  -0.239394E+00
  3730   0.522233E+01   0.169040E+00   0.605030E-02  -0.238542E+00
  3731   0.521076E+01   0.168683E+00   0.604482E-02  -0.237698E+00
  3732   0.519920E+01   0.168329E+00   0.603934E-02  -0.236862E+00
  3733   0.518764E+01   0.167978E+00   0.603387E-02  -0.236036E+00
  3734   0.517610E+01   0.167631E+00   0.602841E-02  -0.235217E+00
  3735   0.516456E+01   0.167287E+00   0.602295E-02  -0.234408E+00
  3736   0.515304E+01   0.166945E+00   0.601750E-02  -0.233607E+00
  3737   0.514152E+01   0.166607E+00   0.601206E-02  -0.232816E+00
  3738   0.513002E+01   0.166272E+00   0.600663E-02  -0.232033E+00
  3739   0.511852E+01   0.165939E+00   0.600120E-02  -0.231258E+00
  3740   0.510703E+01   0.165609E+00   0.599579E-02  -0.230493E+00
  3741   0.509555E+01   0.165282E+00   0.599038E-02  -0.229736E+00
  3742   0.508409E+01   0.164957E+00   0.598497E-02  -0.228989E+00
  3743   0.507264E+01   0.164637E+00   0.597958E-02  -0.228250E+00
  3744   0.506121E+01   0.164318E+00   0.597419E-02  -0.227520E+00
  3745   0.504979E+01   0.164002E+00   0.596881E-02  -0.226799E+00
  3746   0.503839E+01   0.163688E+00   0.596343E-02  -0.226088E+00
  3747   0.502700E+01   0.163377E+00   0.595807E-02  -0.225385E+00
  3748   0.501564E+01   0.163069E+00   0.595270E-02  -0.224691E+00
  3749   0.500430E+01   0.162763E+00   0.594735E-02  -0.224006E+00
  3750   0.499297E+01   0.162460E+00   0.594200E-02  -0.223330E+00
  3751   0.498168E+01   0.162159E+00   0.593666E-02  -0.222664E+00
  3752   0.497041E+01   0.161860E+00   0.593132E-02  -0.222006E+00
  3753   0.495916E+01   0.161564E+00   0.592599E-02  -0.221357E+00
  3754   0.494794E+01   0.161270E+00   0.592067E-02  -0.220716E+00
  3755   0.493675E+01   0.160978E+00   0.591535E-02  -0.220085E+00
  3756   0.492560E+01   0.160689E+00   0.591003E-02  -0.219462E+00
  3757   0.491447E+01   0.160401E+00   0.590473E-02  -0.218849E+00
  3758   0.490337E+01   0.160116E+00   0.589942E-02  -0.218244E+00
  3759   0.489232E+01   0.159833E+00   0.589412E-02  -0.217647E+00
  3760   0.488128E+01   0.159551E+00   0.588883E-02  -0.217059E+00
  3761   0.487030E+01   0.159272E+00   0.588354E-02  -0.216479E+00
  3762   0.485934E+01   0.158994E+00   0.587826E-02  -0.215909E+00
  3763   0.484843E+01   0.158717E+00   0.587298E-02  -0.215347E+00
  3764   0.483756E+01   0.158442E+00   0.586771E-02  -0.214793E+00
  3765   0.482672E+01   0.158170E+00   0.586244E-02  -0.214247E+00
  3766   0.481593E+01   0.157899E+00   0.585718E-02  -0.213710E+00
  3767   0.480518E+01   0.157629E+00   0.585192E-02  -0.213181E+00
  3768   0.479447E+01   0.157360E+00   0.584666E-02  -0.212660E+00
  3769   0.478379E+01   0.157093E+00   0.584141E-02  -0.212147E+00
  3770   0.477317E+01   0.156828E+00   0.583617E-02  -0.211643E+00
  3771   0.476258E+01   0.156564E+00   0.583093E-02  -0.211147E+00
  3772   0.475204E+01   0.156301E+00   0.582569E-02  -0.210658E+00
  3773   0.474155E+01   0.156039E+00   0.582046E-02  -0.210177E+00
  3774   0.473109E+01   0.155778E+00   0.581524E-02  -0.209705E+00
  3775   0.472067E+01   0.155518E+00   0.581002E-02  -0.209240E+00
  3776   0.471029E+01   0.155260E+00   0.580480E-02  -0.208783E+00
  3777   0.469996E+01   0.155002E+00   0.579959E-02  -0.208333E+00
  3778   0.468966E+01   0.154745E+00   0.579439E-02  -0.207892E+00
  3779   0.467940E+01   0.154489E+00   0.578919E-02  -0.207457E+00
  3780   0.466918E+01   0.154234E+00   0.578399E-02  -0.207032E+00
  3781   0.465900E+01   0.153980E+00   0.577881E-02  -0.206612E+00
  3782   0.464885E+01   0.153727E+00   0.577362E-02  -0.206201E+00
  3783   0.463875E+01   0.153474E+00   0.576845E-02  -0.205796E+00
  3784   0.462867E+01   0.153222E+00   0.576328E-02  -0.205399E+00
  3785   0.461864E+01   0.152971E+00   0.575811E-02  -0.205009E+00
  3786   0.460865E+01   0.152720E+00   0.575296E-02  -0.204627E+00
  3787   0.459867E+01   0.152470E+00   0.574781E-02  -0.204251E+00
  3788   0.458874E+01   0.152221E+00   0.574266E-02  -0.203882E+00
  3789   0.457884E+01   0.151972E+00   0.573753E-02  -0.203520E+00
  3790   0.456896E+01   0.151724E+00   0.573240E-02  -0.203165E+00
  3791   0.455911E+01   0.151476E+00   0.572727E-02  -0.202816E+00
  3792   0.454929E+01   0.151228E+00   0.572216E-02  -0.202474E+00
  3793   0.453950E+01   0.150981E+00   0.571705E-02  -0.202139E+00
  3794   0.452973E+01   0.150734E+00   0.571195E-02  -0.201809E+00
  3795   0.452000E+01   0.150488E+00   0.570686E-02  -0.201487E+00
  3796   0.451029E+01   0.150241E+00   0.570177E-02  -0.201170E+00
  3797   0.450060E+01   0.149996E+00   0.569670E-02  -0.200860E+00
  3798   0.449093E+01   0.149750E+00   0.569163E-02  -0.200556E+00
  3799   0.448130E+01   0.149505E+00   0.568657E-02  -0.200258E+00
  3800   0.447169E+01   0.149259E+00   0.568151E-02  -0.199966E+00
  3801   0.446210E+01   0.149014E+00   0.567647E-02  -0.199679E+00
  3802   0.445253E+01   0.148769E+00   0.567143E-02  -0.199398E+00
  3803   0.444299E+01   0.148524E+00   0.566640E-02  -0.199123E+00
  3804   0.443347E+01   0.148279E+00   0.566138E-02  -0.198853E+00
