#    L    TT             EE             BB             TE          
    91   0.237161E+04   0.605360E+00   0.209660E-02  -0.169261E+02
    92   0.240042E+04   0.620003E+00   0.214331E-02  -0.175366E+02
    93   0.242944E+04   0.634612E+00   0.219057E-02  -0.181513E+02
    94   0.245867E+04   0.649176E+00   0.223840E-02  -0.187699E+02
    95   0.248811E+04   0.663681E+00   0.228678E-02  -0.193921E+02
    96   0.251777E+04   0.678113E+00   0.233574E-02  -0.200172E+02
    97   0.254763E+04   0.692459E+00   0.238526E-02  -0.206450E+02
    98   0.257772E+04   0.706703E+00   0.243535E-02  -0.212750E+02
    99   0.260800E+04   0.720834E+00   0.248602E-02  -0.219066E+02
   100   0.263850E+04   0.734840E+00   0.253727E-02  -0.225394E+02
   101   0.266920E+04   0.748707E+00   0.258910E-02  -0.231728E+02
   102   0.270011E+04   0.762415E+00   0.264152E-02  -0.238066E+02
   103   0.273120E+04   0.775964E+00   0.269452E-02  -0.244400E+02
   104   0.276249E+04   0.789325E+00   0.274811E-02  -0.250725E+02
   105   0.279396E+04   0.802493E+00   0.280230E-02  -0.257037E+02
   106   0.282561E+04   0.815453E+00   0.285709E-02  -0.263329E+02
   107   0.285742E+04   0.828199E+00   0.291247E-02  -0.269596E+02
   108   0.288939E+04   0.840710E+00   0.296846E-02  -0.275833E+02
   109   0.292152E+04   0.852980E+00   0.302506E-02  -0.282032E+02
   110   0.295380E+04   0.864987E+00   0.308227E-02  -0.288191E+02
   111   0.298622E+04   0.876725E+00   0.314009E-02  -0.294303E+02
   112   0.301878E+04   0.888187E+00   0.319854E-02  -0.300361E+02
   113   0.305147E+04   0.899352E+00   0.325760E-02  -0.306362E+02
   114   0.308429E+04   0.910204E+00   0.331729E-02  -0.312300E+02
   115   0.311722E+04   0.920746E+00   0.337760E-02  -0.318169E+02
   116   0.315026E+04   0.930962E+00   0.343855E-02  -0.323964E+02
   117   0.318342E+04   0.940831E+00   0.350014E-02  -0.329680E+02
   118   0.321666E+04   0.950353E+00   0.356237E-02  -0.335311E+02
   119   0.325000E+04   0.959514E+00   0.362525E-02  -0.340853E+02
   120   0.328342E+04   0.968308E+00   0.368877E-02  -0.346299E+02
   121   0.331691E+04   0.976719E+00   0.375295E-02  -0.351645E+02
   122   0.335047E+04   0.984742E+00   0.381779E-02  -0.356885E+02
   123   0.338408E+04   0.992369E+00   0.388330E-02  -0.362015E+02
   124   0.341775E+04   0.999586E+00   0.394947E-02  -0.367028E+02
   125   0.345145E+04   0.100639E+01   0.401632E-02  -0.371920E+02
   126   0.348518E+04   0.101278E+01   0.408385E-02  -0.376686E+02
   127   0.351894E+04   0.101874E+01   0.415207E-02  -0.381321E+02
   128   0.355271E+04   0.102426E+01   0.422097E-02  -0.385819E+02
   129   0.358649E+04   0.102935E+01   0.429058E-02  -0.390177E+02
   130   0.362027E+04   0.103399E+01   0.436089E-02  -0.394389E+02
   131   0.365402E+04   0.103817E+01   0.443191E-02  -0.398449E+02
   132   0.368777E+04   0.104191E+01   0.450364E-02  -0.402354E+02
   133   0.372149E+04   0.104518E+01   0.457610E-02  -0.406099E+02
   134   0.375517E+04   0.104800E+01   0.464929E-02  -0.409678E+02
   135   0.378881E+04   0.105036E+01   0.472321E-02  -0.413088E+02
   136   0.382241E+04   0.105225E+01   0.479787E-02  -0.416325E+02
   137   0.385595E+04   0.105367E+01   0.487328E-02  -0.419382E+02
   138   0.388942E+04   0.105463E+01   0.494945E-02  -0.422256E+02
   139   0.392282E+04   0.105513E+01   0.502637E-02  -0.424945E+02
   140   0.395615E+04   0.105516E+01   0.510407E-02  -0.427442E+02
   141   0.398938E+04   0.105473E+01   0.518254E-02  -0.429746E+02
   142   0.402253E+04   0.105384E+01   0.526179E-02  -0.431850E+02
   143   0.405557E+04   0.105249E+01   0.534183E-02  -0.433752E+02
   144   0.408850E+04   0.105069E+01   0.542267E-02  -0.435449E+02
   145   0.412132E+04   0.104844E+01   0.550431E-02  -0.436934E+02
   146   0.415399E+04   0.104574E+01   0.558675E-02  -0.438207E+02
   147   0.418651E+04   0.104261E+01   0.567000E-02  -0.439261E+02
   148   0.421886E+04   0.103905E+01   0.575408E-02  -0.440094E+02
   149   0.425104E+04   0.103507E+01   0.583898E-02  -0.440702E+02
   150   0.428303E+04   0.103067E+01   0.592471E-02  -0.441080E+02
   151   0.431480E+04   0.102585E+01   0.601127E-02  -0.441226E+02
   152   0.434637E+04   0.102064E+01   0.609867E-02  -0.441136E+02
   153   0.437772E+04   0.101504E+01   0.618692E-02  -0.440809E+02
   154   0.440884E+04   0.100907E+01   0.627602E-02  -0.440243E+02
   155   0.443974E+04   0.100273E+01   0.636597E-02  -0.439434E+02
   156   0.447042E+04   0.996035E+00   0.645677E-02  -0.438380E+02
   157   0.450085E+04   0.988989E+00   0.654843E-02  -0.437080E+02
   158   0.453105E+04   0.981622E+00   0.664096E-02  -0.435531E+02
   159   0.456099E+04   0.973932E+00   0.673435E-02  -0.433730E+02
   160   0.459068E+04   0.965943E+00   0.682861E-02  -0.431677E+02
   161   0.462009E+04   0.957667E+00   0.692374E-02  -0.429369E+02
   162   0.464921E+04   0.949120E+00   0.701974E-02  -0.426805E+02
   163   0.467803E+04   0.940332E+00   0.711660E-02  -0.423981E+02
   164   0.470653E+04   0.931301E+00   0.721434E-02  -0.420898E+02
   165   0.473472E+04   0.922049E+00   0.731295E-02  -0.417553E+02
   166   0.476257E+04   0.912599E+00   0.741243E-02  -0.413945E+02
   167   0.479008E+04   0.902972E+00   0.751278E-02  -0.410073E+02
   168   0.481725E+04   0.893191E+00   0.761400E-02  -0.405938E+02
   169   0.484405E+04   0.883276E+00   0.771609E-02  -0.401538E+02
   170   0.487050E+04   0.873243E+00   0.781903E-02  -0.396873E+02
   171   0.489656E+04   0.863121E+00   0.792285E-02  -0.391943E+02
   172   0.492225E+04   0.852932E+00   0.802752E-02  -0.386747E+02
   173   0.494755E+04   0.842697E+00   0.813304E-02  -0.381284E+02
   174   0.497245E+04   0.832438E+00   0.823942E-02  -0.375556E+02
   175   0.499695E+04   0.822193E+00   0.834665E-02  -0.369563E+02
   176   0.502103E+04   0.811975E+00   0.845472E-02  -0.363306E+02
   177   0.504470E+04   0.801820E+00   0.856363E-02  -0.356783E+02
   178   0.506792E+04   0.791750E+00   0.867337E-02  -0.349996E+02
   179   0.509071E+04   0.781786E+00   0.878394E-02  -0.342946E+02
   180   0.511305E+04   0.771962E+00   0.889533E-02  -0.335633E+02
   181   0.513494E+04   0.762309E+00   0.900754E-02  -0.328058E+02
   182   0.515637E+04   0.752854E+00   0.912056E-02  -0.320224E+02
   183   0.517734E+04   0.743618E+00   0.923438E-02  -0.312131E+02
   184   0.519784E+04   0.734637E+00   0.934900E-02  -0.303781E+02
   185   0.521786E+04   0.725947E+00   0.946440E-02  -0.295175E+02
   186   0.523738E+04   0.717569E+00   0.958059E-02  -0.286315E+02
   187   0.525642E+04   0.709532E+00   0.969755E-02  -0.277203E+02
   188   0.527497E+04   0.701875E+00   0.981529E-02  -0.267841E+02
   189   0.529300E+04   0.694628E+00   0.993377E-02  -0.258231E+02
   190   0.531053E+04   0.687824E+00   0.100530E-01  -0.248377E+02
   191   0.532754E+04   0.681492E+00   0.101730E-01  -0.238280E+02
   192   0.534402E+04   0.675668E+00   0.102937E-01  -0.227943E+02
   193   0.535997E+04   0.670382E+00   0.104152E-01  -0.217367E+02
   194   0.537538E+04   0.665670E+00   0.105373E-01  -0.206558E+02
   195   0.539026E+04   0.661565E+00   0.106602E-01  -0.195517E+02
   196   0.540459E+04   0.658101E+00   0.107838E-01  -0.184250E+02
   197   0.541838E+04   0.655315E+00   0.109080E-01  -0.172759E+02
   198   0.543164E+04   0.653241E+00   0.110330E-01  -0.161048E+02
   199   0.544433E+04   0.651913E+00   0.111586E-01  -0.149120E+02
   200   0.545648E+04   0.651365E+00   0.112849E-01  -0.136980E+02
   201   0.546807E+04   0.651634E+00   0.114118E-01  -0.124631E+02
   202   0.547909E+04   0.652753E+00   0.115394E-01  -0.112078E+02
   203   0.548952E+04   0.654758E+00   0.116676E-01  -0.993232E+01
   204   0.549937E+04   0.657685E+00   0.117965E-01  -0.863718E+01
   205   0.550861E+04   0.661567E+00   0.119259E-01  -0.732279E+01
   206   0.551724E+04   0.666440E+00   0.120560E-01  -0.598950E+01
   207   0.552526E+04   0.672339E+00   0.121867E-01  -0.463767E+01
   208   0.553265E+04   0.679299E+00   0.123179E-01  -0.326789E+01
   209   0.553945E+04   0.687354E+00   0.124497E-01  -0.188065E+01
   210   0.554563E+04   0.696541E+00   0.125821E-01  -0.476511E+00
   211   0.555121E+04   0.706893E+00   0.127150E-01   0.944016E+00
   212   0.555620E+04   0.718446E+00   0.128485E-01   0.238039E+01
   213   0.556061E+04   0.731234E+00   0.129825E-01   0.383207E+01
   214   0.556443E+04   0.745294E+00   0.131170E-01   0.529853E+01
   215   0.556767E+04   0.760652E+00   0.132521E-01   0.677920E+01
   216   0.557032E+04   0.777353E+00   0.133876E-01   0.827352E+01
   217   0.557237E+04   0.795425E+00   0.135236E-01   0.978088E+01
   218   0.557382E+04   0.814894E+00   0.136601E-01   0.113008E+02
   219   0.557467E+04   0.835805E+00   0.137970E-01   0.128326E+02
   220   0.557492E+04   0.858185E+00   0.139344E-01   0.143759E+02
   221   0.557455E+04   0.882062E+00   0.140722E-01   0.159298E+02
   222   0.557357E+04   0.907479E+00   0.142104E-01   0.174940E+02
   223   0.557198E+04   0.934455E+00   0.143490E-01   0.190676E+02
   224   0.556979E+04   0.963027E+00   0.144880E-01   0.206502E+02
   225   0.556700E+04   0.993215E+00   0.146273E-01   0.222410E+02
   226   0.556359E+04   0.102506E+01   0.147670E-01   0.238395E+02
   227   0.555958E+04   0.105859E+01   0.149071E-01   0.254450E+02
   228   0.555497E+04   0.109383E+01   0.150475E-01   0.270567E+02
   229   0.554977E+04   0.113081E+01   0.151881E-01   0.286742E+02
   230   0.554396E+04   0.116956E+01   0.153291E-01   0.302966E+02
   231   0.553756E+04   0.121010E+01   0.154703E-01   0.319234E+02
   232   0.553057E+04   0.125245E+01   0.156118E-01   0.335539E+02
   233   0.552299E+04   0.129664E+01   0.157535E-01   0.351873E+02
   234   0.551481E+04   0.134270E+01   0.158955E-01   0.368229E+02
   235   0.550605E+04   0.139066E+01   0.160376E-01   0.384602E+02
   236   0.549670E+04   0.144054E+01   0.161799E-01   0.400984E+02
   237   0.548677E+04   0.149234E+01   0.163224E-01   0.417367E+02
   238   0.547627E+04   0.154610E+01   0.164650E-01   0.433746E+02
   239   0.546519E+04   0.160183E+01   0.166078E-01   0.450112E+02
   240   0.545354E+04   0.165956E+01   0.167506E-01   0.466458E+02
   241   0.544132E+04   0.171930E+01   0.168936E-01   0.482778E+02
   242   0.542855E+04   0.178108E+01   0.170366E-01   0.499064E+02
   243   0.541521E+04   0.184490E+01   0.171796E-01   0.515308E+02
   244   0.540132E+04   0.191078E+01   0.173227E-01   0.531505E+02
   245   0.538689E+04   0.197875E+01   0.174657E-01   0.547647E+02
   246   0.537192E+04   0.204879E+01   0.176088E-01   0.563728E+02
   247   0.535642E+04   0.212095E+01   0.177518E-01   0.579740E+02
   248   0.534039E+04   0.219522E+01   0.178948E-01   0.595675E+02
   249   0.532383E+04   0.227162E+01   0.180377E-01   0.611529E+02
   250   0.530677E+04   0.235015E+01   0.181805E-01   0.627292E+02
   251   0.528918E+04   0.243082E+01   0.183232E-01   0.642957E+02
   252   0.527108E+04   0.251364E+01   0.184658E-01   0.658516E+02
   253   0.525247E+04   0.259862E+01   0.186082E-01   0.673963E+02
   254   0.523337E+04   0.268576E+01   0.187504E-01   0.689288E+02
   255   0.521375E+04   0.277506E+01   0.188925E-01   0.704485E+02
   256   0.519363E+04   0.286653E+01   0.190344E-01   0.719546E+02
   257   0.517302E+04   0.296017E+01   0.191760E-01   0.734466E+02
   258   0.515193E+04   0.305599E+01   0.193174E-01   0.749234E+02
   259   0.513038E+04   0.315398E+01   0.194585E-01   0.763855E+02
   260   0.510838E+04   0.325415E+01   0.195994E-01   0.778308E+02
   261   0.508593E+04   0.335649E+01   0.197400E-01   0.792600E+02
   262   0.506306E+04   0.346101E+01   0.198803E-01   0.806716E+02
   263   0.503976E+04   0.356770E+01   0.200202E-01   0.820657E+02
   264   0.501606E+04   0.367656E+01   0.201598E-01   0.834408E+02
   265   0.499194E+04   0.378757E+01   0.202991E-01   0.847977E+02
   266   0.496743E+04   0.390072E+01   0.204380E-01   0.861342E+02
   267   0.494252E+04   0.401601E+01   0.205765E-01   0.874496E+02
   268   0.491722E+04   0.413341E+01   0.207147E-01   0.887447E+02
   269   0.489153E+04   0.425294E+01   0.208524E-01   0.900172E+02
   270   0.486546E+04   0.437455E+01   0.209897E-01   0.912680E+02
   271   0.483903E+04   0.449825E+01   0.211266E-01   0.924949E+02
   272   0.481222E+04   0.462402E+01   0.212631E-01   0.936985E+02
   273   0.478508E+04   0.475182E+01   0.213990E-01   0.948776E+02
   274   0.475759E+04   0.488166E+01   0.215346E-01   0.960327E+02
   275   0.472977E+04   0.501350E+01   0.216696E-01   0.971619E+02
   276   0.470164E+04   0.514733E+01   0.218042E-01   0.982657E+02
   277   0.467320E+04   0.528313E+01   0.219383E-01   0.993428E+02
   278   0.464445E+04   0.542088E+01   0.220719E-01   0.100393E+03
   279   0.461542E+04   0.556053E+01   0.222049E-01   0.101416E+03
   280   0.458611E+04   0.570206E+01   0.223375E-01   0.102410E+03
   281   0.455652E+04   0.584545E+01   0.224695E-01   0.103377E+03
   282   0.452668E+04   0.599067E+01   0.226010E-01   0.104315E+03
   283   0.449659E+04   0.613768E+01   0.227319E-01   0.105224E+03
   284   0.446625E+04   0.628646E+01   0.228623E-01   0.106102E+03
   285   0.443568E+04   0.643697E+01   0.229922E-01   0.106951E+03
   286   0.440488E+04   0.658918E+01   0.231214E-01   0.107769E+03
   287   0.437388E+04   0.674304E+01   0.232501E-01   0.108556E+03
   288   0.434268E+04   0.689853E+01   0.233783E-01   0.109311E+03
   289   0.431129E+04   0.705560E+01   0.235058E-01   0.110035E+03
   290   0.427972E+04   0.721422E+01   0.236328E-01   0.110726E+03
   291   0.424798E+04   0.737437E+01   0.237591E-01   0.111385E+03
   292   0.421607E+04   0.753590E+01   0.238849E-01   0.112011E+03
   293   0.418401E+04   0.769891E+01   0.240100E-01   0.112604E+03
   294   0.415182E+04   0.786330E+01   0.241346E-01   0.113163E+03
   295   0.411948E+04   0.802894E+01   0.242585E-01   0.113688E+03
   296   0.408702E+04   0.819590E+01   0.243819E-01   0.114179E+03
   297   0.405443E+04   0.836403E+01   0.245046E-01   0.114635E+03
   298   0.402175E+04   0.853333E+01   0.246266E-01   0.115055E+03
   299   0.398896E+04   0.870373E+01   0.247481E-01   0.115441E+03
   300   0.395609E+04   0.887515E+01   0.248689E-01   0.115791E+03
   301   0.392315E+04   0.904767E+01   0.249890E-01   0.116105E+03
   302   0.389014E+04   0.922106E+01   0.251086E-01   0.116384E+03
   303   0.385708E+04   0.939542E+01   0.252275E-01   0.116627E+03
   304   0.382399E+04   0.957066E+01   0.253457E-01   0.116835E+03
   305   0.379087E+04   0.974671E+01   0.254633E-01   0.117006E+03
   306   0.375772E+04   0.992358E+01   0.255802E-01   0.117141E+03
   307   0.372458E+04   0.101011E+02   0.256965E-01   0.117240E+03
   308   0.369143E+04   0.102793E+02   0.258122E-01   0.117302E+03
   309   0.365830E+04   0.104582E+02   0.259272E-01   0.117328E+03
   310   0.362518E+04   0.106374E+02   0.260415E-01   0.117318E+03
   311   0.359211E+04   0.108172E+02   0.261552E-01   0.117270E+03
   312   0.355906E+04   0.109974E+02   0.262682E-01   0.117186E+03
   313   0.352607E+04   0.111780E+02   0.263805E-01   0.117065E+03
   314   0.349314E+04   0.113589E+02   0.264922E-01   0.116906E+03
   315   0.346027E+04   0.115399E+02   0.266033E-01   0.116711E+03
   316   0.342748E+04   0.117212E+02   0.267137E-01   0.116478E+03
   317   0.339479E+04   0.119025E+02   0.268234E-01   0.116209E+03
   318   0.336220E+04   0.120839E+02   0.269325E-01   0.115904E+03
   319   0.332971E+04   0.122652E+02   0.270410E-01   0.115561E+03
   320   0.329733E+04   0.124465E+02   0.271488E-01   0.115181E+03
   321   0.326510E+04   0.126276E+02   0.272560E-01   0.114766E+03
   322   0.323298E+04   0.128085E+02   0.273625E-01   0.114313E+03
   323   0.320103E+04   0.129890E+02   0.274684E-01   0.113824E+03
   324   0.316922E+04   0.131692E+02   0.275737E-01   0.113300E+03
   325   0.313757E+04   0.133490E+02   0.276784E-01   0.112739E+03
   326   0.310610E+04   0.135283E+02   0.277825E-01   0.112143E+03
   327   0.307480E+04   0.137071E+02   0.278860E-01   0.111510E+03
   328   0.304370E+04   0.138852E+02   0.279889E-01   0.110842E+03
   329   0.301279E+04   0.140626E+02   0.280912E-01   0.110139E+03
   330   0.298209E+04   0.142392E+02   0.281929E-01   0.109401E+03
   331   0.295160E+04   0.144150E+02   0.282941E-01   0.108629E+03
   332   0.292134E+04   0.145899E+02   0.283948E-01   0.107821E+03
   333   0.289130E+04   0.147638E+02   0.284948E-01   0.106980E+03
   334   0.286149E+04   0.149367E+02   0.285944E-01   0.106105E+03
   335   0.283194E+04   0.151084E+02   0.286935E-01   0.105196E+03
   336   0.280264E+04   0.152790E+02   0.287920E-01   0.104254E+03
