#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.145890E+04   0.144322E+00   0.000000E+00  -0.418558E+00   0.124754E-06   0.784185E-03  -0.726913E-06
    55   0.147944E+04   0.152799E+00   0.000000E+00  -0.650689E+00   0.124140E-06   0.768880E-03  -0.711231E-06
    56   0.150019E+04   0.161538E+00   0.000000E+00  -0.897012E+00   0.123516E-06   0.754485E-03  -0.686456E-06
    57   0.152127E+04   0.170539E+00   0.000000E+00  -0.115817E+01   0.122882E-06   0.740895E-03  -0.655098E-06
    58   0.154261E+04   0.179809E+00   0.000000E+00  -0.143389E+01   0.122239E-06   0.727951E-03  -0.619091E-06
    59   0.156415E+04   0.189356E+00   0.000000E+00  -0.172358E+01   0.121589E-06   0.715498E-03  -0.580367E-06
    60   0.158586E+04   0.199180E+00   0.000000E+00  -0.202626E+01   0.120930E-06   0.703377E-03  -0.540850E-06
    61   0.160774E+04   0.209279E+00   0.000000E+00  -0.234108E+01   0.120264E-06   0.691455E-03  -0.502441E-06
    62   0.162981E+04   0.219647E+00   0.000000E+00  -0.266809E+01   0.119592E-06   0.679684E-03  -0.466941E-06
    63   0.165208E+04   0.230278E+00   0.000000E+00  -0.300761E+01   0.118914E-06   0.668040E-03  -0.436124E-06
    64   0.167456E+04   0.241164E+00   0.000000E+00  -0.335993E+01   0.118233E-06   0.656497E-03  -0.411761E-06
    65   0.169727E+04   0.252301E+00   0.000000E+00  -0.372542E+01   0.117547E-06   0.645031E-03  -0.395622E-06
    66   0.172025E+04   0.263678E+00   0.000000E+00  -0.410436E+01   0.116860E-06   0.633640E-03  -0.389429E-06
    67   0.174348E+04   0.275289E+00   0.000000E+00  -0.449603E+01   0.116170E-06   0.622405E-03  -0.394709E-06
    68   0.176693E+04   0.287124E+00   0.000000E+00  -0.489939E+01   0.115478E-06   0.611430E-03  -0.412945E-06
    69   0.179055E+04   0.299180E+00   0.000000E+00  -0.531347E+01   0.114786E-06   0.600820E-03  -0.445616E-06
    70   0.181430E+04   0.311449E+00   0.000000E+00  -0.573748E+01   0.114092E-06   0.590677E-03  -0.494200E-06
    71   0.183817E+04   0.323930E+00   0.000000E+00  -0.617102E+01   0.113398E-06   0.581076E-03  -0.558023E-06
    72   0.186227E+04   0.336618E+00   0.000000E+00  -0.661523E+01   0.112704E-06   0.571969E-03  -0.627809E-06
    73   0.188670E+04   0.349510E+00   0.000000E+00  -0.707137E+01   0.112010E-06   0.563278E-03  -0.692142E-06
    74   0.191149E+04   0.362594E+00   0.000000E+00  -0.753966E+01   0.111315E-06   0.554926E-03  -0.739621E-06
    75   0.193662E+04   0.375859E+00   0.000000E+00  -0.801996E+01   0.110620E-06   0.546834E-03  -0.758855E-06
    76   0.196205E+04   0.389292E+00   0.000000E+00  -0.851198E+01   0.109925E-06   0.538934E-03  -0.742458E-06
    77   0.198766E+04   0.402881E+00   0.000000E+00  -0.901433E+01   0.109230E-06   0.531181E-03  -0.699023E-06
    78   0.201343E+04   0.416616E+00   0.000000E+00  -0.952650E+01   0.108535E-06   0.523540E-03  -0.641128E-06
    79   0.203940E+04   0.430487E+00   0.000000E+00  -0.100483E+02   0.107841E-06   0.515973E-03  -0.581336E-06
    80   0.206560E+04   0.444483E+00   0.000000E+00  -0.105798E+02   0.107149E-06   0.508446E-03  -0.532197E-06
