#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.145909E+04   0.144345E+00   0.000000E+00  -0.420595E+00   0.124735E-06   0.784070E-03  -0.727898E-06
    55   0.147963E+04   0.152824E+00   0.000000E+00  -0.652835E+00   0.124121E-06   0.768764E-03  -0.711856E-06
    56   0.150039E+04   0.161564E+00   0.000000E+00  -0.899274E+00   0.123496E-06   0.754371E-03  -0.687038E-06
    57   0.152147E+04   0.170567E+00   0.000000E+00  -0.116056E+01   0.122862E-06   0.740784E-03  -0.655882E-06
    58   0.154283E+04   0.179838E+00   0.000000E+00  -0.143640E+01   0.122219E-06   0.727845E-03  -0.620201E-06
    59   0.156438E+04   0.189386E+00   0.000000E+00  -0.172622E+01   0.121568E-06   0.715395E-03  -0.581807E-06
    60   0.158609E+04   0.199211E+00   0.000000E+00  -0.202903E+01   0.120909E-06   0.703276E-03  -0.542504E-06
    61   0.160798E+04   0.209312E+00   0.000000E+00  -0.234398E+01   0.120243E-06   0.691354E-03  -0.504110E-06
    62   0.163006E+04   0.219681E+00   0.000000E+00  -0.267113E+01   0.119571E-06   0.679582E-03  -0.468487E-06
    63   0.165234E+04   0.230314E+00   0.000000E+00  -0.301078E+01   0.118893E-06   0.667936E-03  -0.437507E-06
    64   0.167483E+04   0.241202E+00   0.000000E+00  -0.336323E+01   0.118211E-06   0.656392E-03  -0.413041E-06
    65   0.169755E+04   0.252340E+00   0.000000E+00  -0.372885E+01   0.117526E-06   0.644926E-03  -0.396957E-06
    66   0.172054E+04   0.263719E+00   0.000000E+00  -0.410793E+01   0.116838E-06   0.633536E-03  -0.391042E-06
    67   0.174378E+04   0.275330E+00   0.000000E+00  -0.449973E+01   0.116147E-06   0.622305E-03  -0.396766E-06
    68   0.176724E+04   0.287168E+00   0.000000E+00  -0.490324E+01   0.115456E-06   0.611334E-03  -0.415520E-06
    69   0.179087E+04   0.299224E+00   0.000000E+00  -0.531746E+01   0.114763E-06   0.600729E-03  -0.448693E-06
    70   0.181463E+04   0.311495E+00   0.000000E+00  -0.574160E+01   0.114069E-06   0.590591E-03  -0.497673E-06
