#    L    TT             EE             BB             TE             PP             TP             EP          
    54   0.145908E+04   0.144342E+00   0.000000E+00  -0.420349E+00   0.124754E-06   0.784113E-03  -0.727517E-06
    55   0.147963E+04   0.152821E+00   0.000000E+00  -0.652588E+00   0.124140E-06   0.768808E-03  -0.712062E-06
    56   0.150039E+04   0.161561E+00   0.000000E+00  -0.899020E+00   0.123516E-06   0.754413E-03  -0.687299E-06
    57   0.152147E+04   0.170563E+00   0.000000E+00  -0.116029E+01   0.122882E-06   0.740822E-03  -0.655779E-06
    58   0.154283E+04   0.179835E+00   0.000000E+00  -0.143612E+01   0.122239E-06   0.727879E-03  -0.619499E-06
    59   0.156437E+04   0.189383E+00   0.000000E+00  -0.172593E+01   0.121588E-06   0.715425E-03  -0.580455E-06
    60   0.158609E+04   0.199208E+00   0.000000E+00  -0.202872E+01   0.120930E-06   0.703305E-03  -0.540638E-06
    61   0.160798E+04   0.209308E+00   0.000000E+00  -0.234366E+01   0.120264E-06   0.691383E-03  -0.502001E-06
    62   0.163006E+04   0.219677E+00   0.000000E+00  -0.267079E+01   0.119592E-06   0.679613E-03  -0.466360E-06
    63   0.165234E+04   0.230310E+00   0.000000E+00  -0.301043E+01   0.118914E-06   0.667970E-03  -0.435492E-06
    64   0.167483E+04   0.241198E+00   0.000000E+00  -0.336287E+01   0.118232E-06   0.656429E-03  -0.411175E-06
    65   0.169755E+04   0.252336E+00   0.000000E+00  -0.372848E+01   0.117547E-06   0.644965E-03  -0.395181E-06
    66   0.172055E+04   0.263714E+00   0.000000E+00  -0.410755E+01   0.116859E-06   0.633576E-03  -0.389226E-06
    67   0.174379E+04   0.275325E+00   0.000000E+00  -0.449934E+01   0.116170E-06   0.622344E-03  -0.394797E-06
    68   0.176725E+04   0.287162E+00   0.000000E+00  -0.490283E+01   0.115478E-06   0.611372E-03  -0.413321E-06
    69   0.179088E+04   0.299219E+00   0.000000E+00  -0.531704E+01   0.114786E-06   0.600763E-03  -0.446227E-06
    70   0.181464E+04   0.311490E+00   0.000000E+00  -0.574117E+01   0.114092E-06   0.590623E-03  -0.494941E-06
    71   0.183852E+04   0.323972E+00   0.000000E+00  -0.617485E+01   0.113398E-06   0.581023E-03  -0.558752E-06
    72   0.186263E+04   0.336662E+00   0.000000E+00  -0.661919E+01   0.112704E-06   0.571916E-03  -0.628411E-06
    73   0.188708E+04   0.349555E+00   0.000000E+00  -0.707547E+01   0.112010E-06   0.563224E-03  -0.692547E-06
    74   0.191187E+04   0.362640E+00   0.000000E+00  -0.754389E+01   0.111315E-06   0.554870E-03  -0.739800E-06
    75   0.193701E+04   0.375906E+00   0.000000E+00  -0.802432E+01   0.110620E-06   0.546776E-03  -0.758821E-06
    76   0.196246E+04   0.389340E+00   0.000000E+00  -0.851649E+01   0.109924E-06   0.538872E-03  -0.742263E-06
    77   0.198808E+04   0.402930E+00   0.000000E+00  -0.901896E+01   0.109229E-06   0.531115E-03  -0.698730E-06
    78   0.201386E+04   0.416667E+00   0.000000E+00  -0.953127E+01   0.108535E-06   0.523470E-03  -0.640803E-06
    79   0.203984E+04   0.430539E+00   0.000000E+00  -0.100532E+02   0.107841E-06   0.515902E-03  -0.581050E-06
    80   0.206605E+04   0.444535E+00   0.000000E+00  -0.105848E+02   0.107149E-06   0.508376E-03  -0.532027E-06
    81   0.209251E+04   0.458645E+00   0.000000E+00  -0.111257E+02   0.106458E-06   0.500869E-03  -0.503842E-06
    82   0.211923E+04   0.472860E+00   0.000000E+00  -0.116754E+02   0.105769E-06   0.493413E-03  -0.496852E-06
    83   0.214619E+04   0.487168E+00   0.000000E+00  -0.122334E+02   0.105082E-06   0.486050E-03  -0.508982E-06
    84   0.217339E+04   0.501558E+00   0.000000E+00  -0.127989E+02   0.104398E-06   0.478823E-03  -0.538156E-06
    85   0.220082E+04   0.516019E+00   0.000000E+00  -0.133715E+02   0.103716E-06   0.471776E-03  -0.582303E-06
    86   0.222848E+04   0.530542E+00   0.000000E+00  -0.139506E+02   0.103038E-06   0.464941E-03  -0.638826E-06
    87   0.225633E+04   0.545113E+00   0.000000E+00  -0.145358E+02   0.102362E-06   0.458315E-03  -0.703023E-06
    88   0.228436E+04   0.559722E+00   0.000000E+00  -0.151267E+02   0.101689E-06   0.451882E-03  -0.769668E-06
    89   0.231257E+04   0.574354E+00   0.000000E+00  -0.157230E+02   0.101020E-06   0.445628E-03  -0.833541E-06
    90   0.234097E+04   0.588994E+00   0.000000E+00  -0.163246E+02   0.100354E-06   0.439539E-03  -0.889425E-06
    91   0.236957E+04   0.603629E+00   0.000000E+00  -0.169311E+02   0.996913E-07   0.433601E-03  -0.933138E-06
    92   0.239836E+04   0.618243E+00   0.000000E+00  -0.175423E+02   0.990324E-07   0.427808E-03  -0.964627E-06
    93   0.242737E+04   0.632824E+00   0.000000E+00  -0.181578E+02   0.983770E-07   0.422156E-03  -0.984872E-06
    94   0.245658E+04   0.647361E+00   0.000000E+00  -0.187773E+02   0.977253E-07   0.416639E-03  -0.994851E-06
    95   0.248600E+04   0.661837E+00   0.000000E+00  -0.194003E+02   0.970772E-07   0.411252E-03  -0.995539E-06
    96   0.251565E+04   0.676241E+00   0.000000E+00  -0.200264E+02   0.964328E-07   0.405992E-03  -0.987914E-06
    97   0.254550E+04   0.690558E+00   0.000000E+00  -0.206551E+02   0.957922E-07   0.400853E-03  -0.972950E-06
    98   0.257557E+04   0.704774E+00   0.000000E+00  -0.212861E+02   0.951554E-07   0.395830E-03  -0.951622E-06
    99   0.260584E+04   0.718876E+00   0.000000E+00  -0.219187E+02   0.945224E-07   0.390919E-03  -0.924904E-06
   100   0.263633E+04   0.732853E+00   0.000000E+00  -0.225526E+02   0.938934E-07   0.386115E-03  -0.893769E-06
   101   0.266702E+04   0.746692E+00   0.000000E+00  -0.231872E+02   0.932682E-07   0.381413E-03  -0.859189E-06
   102   0.269792E+04   0.760370E+00   0.000000E+00  -0.238221E+02   0.926470E-07   0.376808E-03  -0.822136E-06
   103   0.272901E+04   0.773889E+00   0.000000E+00  -0.244567E+02   0.920299E-07   0.372297E-03  -0.783581E-06
   104   0.276029E+04   0.787220E+00   0.000000E+00  -0.250906E+02   0.914169E-07   0.367873E-03  -0.744495E-06
   105   0.279176E+04   0.800357E+00   0.000000E+00  -0.257231E+02   0.908079E-07   0.363533E-03  -0.705848E-06
   106   0.282340E+04   0.813286E+00   0.000000E+00  -0.263536E+02   0.902032E-07   0.359271E-03  -0.668609E-06
   107   0.285521E+04   0.826001E+00   0.000000E+00  -0.269818E+02   0.896027E-07   0.355083E-03  -0.633748E-06
   108   0.288718E+04   0.838481E+00   0.000000E+00  -0.276069E+02   0.890064E-07   0.350964E-03  -0.602233E-06
   109   0.291932E+04   0.850718E+00   0.000000E+00  -0.282284E+02   0.884146E-07   0.346910E-03  -0.575033E-06
   110   0.295160E+04   0.862692E+00   0.000000E+00  -0.288458E+02   0.878271E-07   0.342916E-03  -0.553114E-06
   111   0.298402E+04   0.874397E+00   0.000000E+00  -0.294586E+02   0.872440E-07   0.338978E-03  -0.537207E-06
   112   0.301659E+04   0.885824E+00   0.000000E+00  -0.300661E+02   0.866653E-07   0.335095E-03  -0.527088E-06
   113   0.304929E+04   0.896954E+00   0.000000E+00  -0.306679E+02   0.860911E-07   0.331267E-03  -0.522296E-06
   114   0.308211E+04   0.907771E+00   0.000000E+00  -0.312634E+02   0.855213E-07   0.327494E-03  -0.522370E-06
   115   0.311505E+04   0.918276E+00   0.000000E+00  -0.318522E+02   0.849559E-07   0.323776E-03  -0.526848E-06
   116   0.314811E+04   0.928454E+00   0.000000E+00  -0.324335E+02   0.843949E-07   0.320112E-03  -0.535272E-06
   117   0.318128E+04   0.938284E+00   0.000000E+00  -0.330070E+02   0.838382E-07   0.316504E-03  -0.547180E-06
   118   0.321454E+04   0.947766E+00   0.000000E+00  -0.335721E+02   0.832859E-07   0.312949E-03  -0.562113E-06
   119   0.324789E+04   0.956886E+00   0.000000E+00  -0.341282E+02   0.827379E-07   0.309450E-03  -0.579610E-06
   120   0.328133E+04   0.965638E+00   0.000000E+00  -0.346749E+02   0.821943E-07   0.306004E-03  -0.599213E-06
   121   0.331484E+04   0.974006E+00   0.000000E+00  -0.352115E+02   0.816551E-07   0.302613E-03  -0.620462E-06
   122   0.334842E+04   0.981983E+00   0.000000E+00  -0.357377E+02   0.811201E-07   0.299276E-03  -0.642899E-06
   123   0.338206E+04   0.989564E+00   0.000000E+00  -0.362528E+02   0.805895E-07   0.295994E-03  -0.666063E-06
   124   0.341575E+04   0.996733E+00   0.000000E+00  -0.367563E+02   0.800632E-07   0.292765E-03  -0.689498E-06
   125   0.344947E+04   0.100349E+01   0.000000E+00  -0.372478E+02   0.795412E-07   0.289591E-03  -0.712743E-06
   126   0.348324E+04   0.100982E+01   0.000000E+00  -0.377267E+02   0.790234E-07   0.286470E-03  -0.735341E-06
   127   0.351703E+04   0.101573E+01   0.000000E+00  -0.381925E+02   0.785100E-07   0.283403E-03  -0.756834E-06
   128   0.355083E+04   0.102120E+01   0.000000E+00  -0.386448E+02   0.780008E-07   0.280390E-03  -0.776764E-06
   129   0.358464E+04   0.102623E+01   0.000000E+00  -0.390830E+02   0.774960E-07   0.277431E-03  -0.794672E-06
   130   0.361845E+04   0.103081E+01   0.000000E+00  -0.395066E+02   0.769954E-07   0.274525E-03  -0.810102E-06
   131   0.365225E+04   0.103493E+01   0.000000E+00  -0.399151E+02   0.764990E-07   0.271673E-03  -0.822703E-06
   132   0.368603E+04   0.103860E+01   0.000000E+00  -0.403081E+02   0.760069E-07   0.268872E-03  -0.832554E-06
   133   0.371979E+04   0.104181E+01   0.000000E+00  -0.406851E+02   0.755189E-07   0.266122E-03  -0.839842E-06
   134   0.375352E+04   0.104457E+01   0.000000E+00  -0.410456E+02   0.750352E-07   0.263421E-03  -0.844754E-06
   135   0.378720E+04   0.104685E+01   0.000000E+00  -0.413893E+02   0.745555E-07   0.260766E-03  -0.847476E-06
   136   0.382084E+04   0.104867E+01   0.000000E+00  -0.417155E+02   0.740800E-07   0.258157E-03  -0.848196E-06
   137   0.385443E+04   0.105001E+01   0.000000E+00  -0.420239E+02   0.736085E-07   0.255591E-03  -0.847098E-06
   138   0.388796E+04   0.105090E+01   0.000000E+00  -0.423141E+02   0.731410E-07   0.253068E-03  -0.844370E-06
   139   0.392141E+04   0.105131E+01   0.000000E+00  -0.425856E+02   0.726776E-07   0.250585E-03  -0.840199E-06
   140   0.395479E+04   0.105125E+01   0.000000E+00  -0.428380E+02   0.722181E-07   0.248140E-03  -0.834769E-06
   141   0.398808E+04   0.105074E+01   0.000000E+00  -0.430711E+02   0.717626E-07   0.245733E-03  -0.828268E-06
   142   0.402128E+04   0.104975E+01   0.000000E+00  -0.432843E+02   0.713109E-07   0.243361E-03  -0.820880E-06
   143   0.405439E+04   0.104831E+01   0.000000E+00  -0.434773E+02   0.708632E-07   0.241023E-03  -0.812794E-06
   144   0.408738E+04   0.104641E+01   0.000000E+00  -0.436497E+02   0.704193E-07   0.238717E-03  -0.804193E-06
   145   0.412026E+04   0.104405E+01   0.000000E+00  -0.438010E+02   0.699792E-07   0.236442E-03  -0.795265E-06
   146   0.415300E+04   0.104125E+01   0.000000E+00  -0.439311E+02   0.695429E-07   0.234196E-03  -0.786195E-06
   147   0.418559E+04   0.103801E+01   0.000000E+00  -0.440393E+02   0.691103E-07   0.231977E-03  -0.777169E-06
   148   0.421801E+04   0.103434E+01   0.000000E+00  -0.441253E+02   0.686815E-07   0.229783E-03  -0.768373E-06
   149   0.425026E+04   0.103023E+01   0.000000E+00  -0.441889E+02   0.682563E-07   0.227614E-03  -0.759992E-06
   150   0.428233E+04   0.102571E+01   0.000000E+00  -0.442294E+02   0.678349E-07   0.225467E-03  -0.752212E-06
   151   0.431417E+04   0.102077E+01   0.000000E+00  -0.442468E+02   0.674170E-07   0.223341E-03  -0.745177E-06
   152   0.434582E+04   0.101543E+01   0.000000E+00  -0.442406E+02   0.670028E-07   0.221236E-03  -0.738867E-06
